LSOA_Code,LSOA_Name,Supergroup_Code,Supergroup_Name,Group_Code,Group_Name,Subgroup_Code,Subgroup_Name
E01026087,East Lindsey 003C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026088,East Lindsey 003D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026089,East Lindsey 004C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026090,East Lindsey 003E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026091,East Lindsey 003F,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026092,East Lindsey 014A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026093,East Lindsey 014B,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01026094,East Lindsey 015B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026095,East Lindsey 014C,8,Legacy Communities,8b,Legacy and Demographically Mixed Communities,8b2,Retirement Pockets
E01026096,East Lindsey 015C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026097,East Lindsey 015D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026098,East Lindsey 018C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026099,East Lindsey 005D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026100,East Lindsey 013E,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01026101,East Lindsey 013F,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026102,East Lindsey 018D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026103,East Lindsey 006A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026104,East Lindsey 006B,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026105,East Lindsey 009D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026106,East Lindsey 001F,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026107,East Lindsey 001G,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026108,East Lindsey 003G,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026109,East Lindsey 006C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026110,East Lindsey 017B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026111,East Lindsey 017C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026112,East Lindsey 017D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026113,East Lindsey 008D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026114,East Lindsey 014D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026115,East Lindsey 012C,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026116,East Lindsey 012D,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026117,East Lindsey 008E,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026118,East Lindsey 016E,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026119,East Lindsey 016F,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026120,East Lindsey 016G,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026121,East Lindsey 007C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026122,Lincoln 004A,3,Multicultural and Educated Urbanites,3a,Student Living and Professional Footholds,3a1,University Centric
E01026123,Lincoln 004B,4,Low-Skilled Migrant and Student Communities,4a,Ethnically Diverse Families in Less Connected Locations,4a1,"Semi-Detached, Service Workers and Students"
E01026124,Lincoln 004C,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026125,Lincoln 003A,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026126,Lincoln 004D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026127,Lincoln 007A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026129,Lincoln 007C,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026130,Lincoln 009A,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026131,Lincoln 007D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026132,Lincoln 005A,3,Multicultural and Educated Urbanites,3a,Student Living and Professional Footholds,3a1,University Centric
E01026134,Lincoln 006A,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026135,Lincoln 008B,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026136,Lincoln 008C,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026137,Lincoln 011A,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a2,Settled Owner-Occupied Suburbs
E01026138,Lincoln 011B,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026139,Lincoln 011C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026140,Lincoln 011D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026141,Lincoln 011E,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026142,Lincoln 011F,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026144,Lincoln 003B,6,Baseline UK,6c,Multicultural Inner Suburbs,6c1,Transient Communities
E01026145,Lincoln 005C,6,Baseline UK,6c,Multicultural Inner Suburbs,6c1,Transient Communities
E01026146,Lincoln 005D,6,Baseline UK,6c,Multicultural Inner Suburbs,6c1,Transient Communities
E01026147,Lincoln 003C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a2,Settled Owner-Occupied Suburbs
E01026148,Lincoln 003D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01026149,Lincoln 001A,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026150,Lincoln 001B,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01026151,Lincoln 003E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01026152,Lincoln 004E,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026153,Lincoln 002A,5,Ethnically Diverse Suburb-an Professionals,5a,Outer Suburbs,5a3,Young Suburban Families
E01026154,Lincoln 004F,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026155,Lincoln 002B,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026156,Lincoln 004G,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026157,Lincoln 002C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026158,Lincoln 009B,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026159,Lincoln 009C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026160,Lincoln 009D,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026161,Lincoln 010A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026162,Lincoln 009E,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026163,Lincoln 009F,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026164,Lincoln 003F,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026165,Lincoln 002D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026166,Lincoln 001C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026167,Lincoln 003G,6,Baseline UK,6c,Multicultural Inner Suburbs,6c1,Transient Communities
E01026168,Lincoln 001D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026169,Lincoln 011G,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026170,Lincoln 010B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026171,Lincoln 011H,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026172,Lincoln 010C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026173,Lincoln 010D,6,Baseline UK,6a,Challenged Communities,6a3,Younger Ethnic Minority Families in Flats
E01026174,Lincoln 008D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026175,Lincoln 010E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026176,Lincoln 006B,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026177,Lincoln 006C,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026178,Lincoln 006D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026179,North Kesteven 008A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026180,North Kesteven 007A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026182,North Kesteven 003B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026183,North Kesteven 007B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026184,North Kesteven 004A,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026185,North Kesteven 004B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026186,North Kesteven 001A,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026187,North Kesteven 001B,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026188,North Kesteven 004C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026189,North Kesteven 001C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026190,North Kesteven 004D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026191,North Kesteven 005A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026192,North Kesteven 006A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026193,North Kesteven 003C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026194,North Kesteven 006B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026195,North Kesteven 006C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026196,North Kesteven 006D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026197,North Kesteven 008B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026198,North Kesteven 008C,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026199,North Kesteven 003D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026200,North Kesteven 012A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026201,North Kesteven 012B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026202,North Kesteven 012C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026203,North Kesteven 001D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026204,North Kesteven 001E,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026205,North Kesteven 005B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01026206,North Kesteven 001F,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026207,North Kesteven 012D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026208,North Kesteven 012E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026209,North Kesteven 009A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026210,North Kesteven 007C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026211,North Kesteven 005C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026212,North Kesteven 005D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026213,North Kesteven 005E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026214,North Kesteven 014A,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026215,North Kesteven 014B,1,Retired Professionals,1b,Small Town Suburbia,1b2,Older Established Suburban Communities
E01026218,North Kesteven 014C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026219,North Kesteven 014D,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026220,North Kesteven 013A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026221,North Kesteven 009B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026222,North Kesteven 009C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026223,North Kesteven 008D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026224,North Kesteven 007D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026225,North Kesteven 003E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026226,North Kesteven 003F,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026227,North Kesteven 010A,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026228,North Kesteven 011A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026229,North Kesteven 011B,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026230,North Kesteven 010B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026231,North Kesteven 010C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026232,North Kesteven 010D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026233,North Kesteven 011C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026235,North Kesteven 010E,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026236,North Kesteven 011E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026237,North Kesteven 004E,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026238,North Kesteven 004F,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026239,South Holland 011A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026240,South Holland 011B,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026241,South Holland 005A,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026242,South Holland 001A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026243,South Holland 001B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01026244,South Holland 001C,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026245,South Holland 010A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026246,South Holland 002A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026247,South Holland 001D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026248,South Holland 002B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026249,South Holland 010B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026250,South Holland 003A,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026251,South Holland 003B,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026252,South Holland 003C,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026253,South Holland 003D,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026254,South Holland 008A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026255,South Holland 008B,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026256,South Holland 008C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026257,South Holland 002C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026258,South Holland 005B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026259,South Holland 005C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026260,South Holland 005D,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
